companyCode,divisionCode,mgTypeCode,mgTypeDesc,licensedDetailCount
EDGEHOME,CW001,01,Type,0
EDGEHOME,EH001,01,Type,0
EDGEHOME,SP001,01,Type,0
EDGEHOME,EP001,01,Type,0
EDGEHOME,EP001,02,Sub-Type,0
EDGEHOME,SP001,02,Sub-Type,0
EDGEHOME,EH001,02,Sub-Type,0
EDGEHOME,CW001,02,Sub-Type,0
EDGEHOME,CW001,03,Sub-Sub-Type,0
EDGEHOME,EH001,03,Sub-Sub-Type,0
EDGEHOME,SP001,03,Sub-Sub-Type,0
EDGEHOME,EP001,03,Sub-Sub-Type,0
EDGEHOME,EP001,04,Pages,0
EDGEHOME,SP001,04,Size,0
EDGEHOME,EH001,04,Size,0
EDGEHOME,CW001,04,Size,0
EDGEHOME,CW001,05,Licensor,22
EDGEHOME,EH001,05,Big Theme,0
EDGEHOME,SP001,05,Licensor,22
EDGEHOME,EP001,05,Product Line,0
EDGEHOME,EP001,06,Product Type,0
EDGEHOME,SP001,06,Property,258
EDGEHOME,EH001,06,Little Theme,0
EDGEHOME,CW001,06,Property,258
EDGEHOME,CW001,07,Style Guide,0
EDGEHOME,EH001,07,Art Type,0
EDGEHOME,SP001,07,Style Guide,0
EDGEHOME,EP001,07,Character,0
EDGEHOME,SP001,08,Art Source,0
EDGEHOME,EH001,08,Art Source,0
EDGEHOME,CW001,08,Art Source,0
EDGEHOME,CW001,09,Artist,0
EDGEHOME,EH001,09,Artist,0
EDGEHOME,SP001,09,Artist,0
EDGEHOME,SP001,10,Demographic,0
EDGEHOME,EH001,10,Demographic,0
EDGEHOME,CW001,10,Demographic,0
